train 36744
val 5175
test 10444
test_data:  10444
Iter: 0, mse: 0.0029, rmse: 0.0540, mae: 0.0488
Iter: 1, mse: 0.0029, rmse: 0.0540, mae: 0.0489
Iter: 2, mse: 0.0029, rmse: 0.0538, mae: 0.0486
Iter: 3, mse: 0.0028, rmse: 0.0527, mae: 0.0474
Iter: 4, mse: 0.0026, rmse: 0.0506, mae: 0.0460
Iter: 5, mse: 0.0025, rmse: 0.0505, mae: 0.0457
Iter: 6, mse: 0.0026, rmse: 0.0506, mae: 0.0459
Iter: 7, mse: 0.0026, rmse: 0.0510, mae: 0.0464
Iter: 8, mse: 0.0023, rmse: 0.0481, mae: 0.0435
Iter: 9, mse: 0.0022, rmse: 0.0469, mae: 0.0424
Iter: 10, mse: 0.0022, rmse: 0.0466, mae: 0.0423
Iter: 11, mse: 0.0022, rmse: 0.0464, mae: 0.0415
Iter: 12, mse: 0.0019, rmse: 0.0438, mae: 0.0388
Iter: 13, mse: 0.0017, rmse: 0.0409, mae: 0.0363
Iter: 14, mse: 0.0014, rmse: 0.0381, mae: 0.0335
Iter: 15, mse: 0.0013, rmse: 0.0359, mae: 0.0316
Iter: 16, mse: 0.0011, rmse: 0.0336, mae: 0.0294
Iter: 17, mse: 0.0012, rmse: 0.0347, mae: 0.0309
Iter: 18, mse: 0.0009, rmse: 0.0295, mae: 0.0263
Iter: 19, mse: 0.0007, rmse: 0.0263, mae: 0.0231
Iter: 20, mse: 0.0007, rmse: 0.0265, mae: 0.0236
Iter: 21, mse: 0.0006, rmse: 0.0252, mae: 0.0221
Iter: 22, mse: 0.0006, rmse: 0.0247, mae: 0.0214
Iter: 23, mse: 0.0006, rmse: 0.0243, mae: 0.0213
Iter: 24, mse: 0.0006, rmse: 0.0250, mae: 0.0212
Iter: 25, mse: 0.0006, rmse: 0.0249, mae: 0.0217
Iter: 26, mse: 0.0006, rmse: 0.0244, mae: 0.0209
Iter: 27, mse: 0.0007, rmse: 0.0273, mae: 0.0226
Iter: 28, mse: 0.0010, rmse: 0.0314, mae: 0.0240
Iter: 29, mse: 0.0008, rmse: 0.0285, mae: 0.0219
Iter: 30, mse: 0.0009, rmse: 0.0296, mae: 0.0229
Iter: 31, mse: 0.0011, rmse: 0.0326, mae: 0.0242
Iter: 32, mse: 0.0009, rmse: 0.0303, mae: 0.0229
Iter: 33, mse: 0.0010, rmse: 0.0321, mae: 0.0250
Iter: 34, mse: 0.0010, rmse: 0.0308, mae: 0.0242
Iter: 35, mse: 0.0010, rmse: 0.0320, mae: 0.0257
Iter: 36, mse: 0.0009, rmse: 0.0300, mae: 0.0250
Iter: 37, mse: 0.0014, rmse: 0.0374, mae: 0.0291
Iter: 38, mse: 0.0014, rmse: 0.0370, mae: 0.0297
Iter: 39, mse: 0.0014, rmse: 0.0371, mae: 0.0294
Iter: 40, mse: 0.0017, rmse: 0.0417, mae: 0.0328
Iter: 41, mse: 0.0016, rmse: 0.0406, mae: 0.0318
Iter: 42, mse: 0.0014, rmse: 0.0372, mae: 0.0298
Iter: 43, mse: 0.0013, rmse: 0.0360, mae: 0.0291
Iter: 44, mse: 0.0015, rmse: 0.0390, mae: 0.0314
Iter: 45, mse: 0.0015, rmse: 0.0387, mae: 0.0310
Iter: 46, mse: 0.0017, rmse: 0.0415, mae: 0.0338
Iter: 47, mse: 0.0018, rmse: 0.0422, mae: 0.0351
Iter: 48, mse: 0.0014, rmse: 0.0375, mae: 0.0321
Iter: 49, mse: 0.0013, rmse: 0.0365, mae: 0.0317
Iter: 50, mse: 0.0014, rmse: 0.0375, mae: 0.0330
Iter: 51, mse: 0.0018, rmse: 0.0420, mae: 0.0371
Iter: 52, mse: 0.0019, rmse: 0.0431, mae: 0.0376
Iter: 53, mse: 0.0019, rmse: 0.0437, mae: 0.0383
Iter: 54, mse: 0.0020, rmse: 0.0444, mae: 0.0390
Iter: 55, mse: 0.0020, rmse: 0.0448, mae: 0.0394
Iter: 56, mse: 0.0020, rmse: 0.0452, mae: 0.0400
Iter: 57, mse: 0.0021, rmse: 0.0455, mae: 0.0402
Iter: 58, mse: 0.0021, rmse: 0.0457, mae: 0.0409
Iter: 59, mse: 0.0021, rmse: 0.0460, mae: 0.0414
Iter: 60, mse: 0.0022, rmse: 0.0467, mae: 0.0422
Iter: 61, mse: 0.0021, rmse: 0.0454, mae: 0.0407
