train 5232
val 729
test 1486
test_data:  1486
Iter: 0, mse: 0.0031, rmse: 0.0554, mae: 0.0463
Iter: 1, mse: 0.0040, rmse: 0.0629, mae: 0.0510
Iter: 2, mse: 0.0032, rmse: 0.0565, mae: 0.0477
Iter: 3, mse: 0.0033, rmse: 0.0574, mae: 0.0483
Iter: 4, mse: 0.0043, rmse: 0.0656, mae: 0.0547
Iter: 5, mse: 0.0049, rmse: 0.0702, mae: 0.0594
Iter: 6, mse: 0.0049, rmse: 0.0697, mae: 0.0596
Iter: 7, mse: 0.0068, rmse: 0.0825, mae: 0.0701
Iter: 8, mse: 0.0051, rmse: 0.0717, mae: 0.0617
Iter: 9, mse: 0.0034, rmse: 0.0583, mae: 0.0505
Iter: 10, mse: 0.0033, rmse: 0.0575, mae: 0.0495
Iter: 11, mse: 0.0037, rmse: 0.0608, mae: 0.0531
Iter: 12, mse: 0.0034, rmse: 0.0583, mae: 0.0514
Iter: 13, mse: 0.0039, rmse: 0.0626, mae: 0.0535
Iter: 14, mse: 0.0043, rmse: 0.0656, mae: 0.0548
Iter: 15, mse: 0.0047, rmse: 0.0686, mae: 0.0560
Iter: 16, mse: 0.0051, rmse: 0.0715, mae: 0.0574
Iter: 17, mse: 0.0059, rmse: 0.0769, mae: 0.0617
Iter: 18, mse: 0.0073, rmse: 0.0854, mae: 0.0692
Iter: 19, mse: 0.0088, rmse: 0.0939, mae: 0.0755
Iter: 20, mse: 0.0094, rmse: 0.0969, mae: 0.0745
Iter: 21, mse: 0.0112, rmse: 0.1060, mae: 0.0783
Iter: 22, mse: 0.0139, rmse: 0.1181, mae: 0.0853
Iter: 23, mse: 0.0158, rmse: 0.1258, mae: 0.0928
Iter: 24, mse: 0.0174, rmse: 0.1321, mae: 0.0998
Iter: 25, mse: 0.0192, rmse: 0.1386, mae: 0.1054
Iter: 26, mse: 0.0203, rmse: 0.1423, mae: 0.1095
Iter: 27, mse: 0.0216, rmse: 0.1468, mae: 0.1136
Iter: 28, mse: 0.0223, rmse: 0.1493, mae: 0.1165
Iter: 29, mse: 0.0213, rmse: 0.1461, mae: 0.1128
Iter: 30, mse: 0.0232, rmse: 0.1523, mae: 0.1207
Iter: 31, mse: 0.0251, rmse: 0.1585, mae: 0.1284
Iter: 32, mse: 0.0261, rmse: 0.1615, mae: 0.1313
Iter: 33, mse: 0.0224, rmse: 0.1496, mae: 0.1132
Iter: 34, mse: 0.0196, rmse: 0.1400, mae: 0.1003
Iter: 35, mse: 0.0201, rmse: 0.1419, mae: 0.1041
Iter: 36, mse: 0.0204, rmse: 0.1430, mae: 0.1071
Iter: 37, mse: 0.0204, rmse: 0.1428, mae: 0.1080
Iter: 38, mse: 0.0213, rmse: 0.1461, mae: 0.1130
Iter: 39, mse: 0.0219, rmse: 0.1482, mae: 0.1172
Iter: 40, mse: 0.0222, rmse: 0.1489, mae: 0.1199
Iter: 41, mse: 0.0227, rmse: 0.1506, mae: 0.1241
Iter: 42, mse: 0.0225, rmse: 0.1501, mae: 0.1251
Iter: 43, mse: 0.0230, rmse: 0.1516, mae: 0.1275
Iter: 44, mse: 0.0237, rmse: 0.1539, mae: 0.1310
Iter: 45, mse: 0.0223, rmse: 0.1493, mae: 0.1260
Iter: 46, mse: 0.0210, rmse: 0.1448, mae: 0.1219
Iter: 47, mse: 0.0196, rmse: 0.1400, mae: 0.1184
Iter: 48, mse: 0.0184, rmse: 0.1358, mae: 0.1153
Iter: 49, mse: 0.0177, rmse: 0.1330, mae: 0.1137
Iter: 50, mse: 0.0159, rmse: 0.1260, mae: 0.1092
Iter: 51, mse: 0.0126, rmse: 0.1122, mae: 0.0995
Iter: 52, mse: 0.0114, rmse: 0.1069, mae: 0.0950
Iter: 53, mse: 0.0094, rmse: 0.0970, mae: 0.0869
Iter: 54, mse: 0.0084, rmse: 0.0919, mae: 0.0818
Iter: 55, mse: 0.0081, rmse: 0.0897, mae: 0.0790
Iter: 56, mse: 0.0081, rmse: 0.0898, mae: 0.0784
Iter: 57, mse: 0.0082, rmse: 0.0906, mae: 0.0817
Iter: 58, mse: 0.0093, rmse: 0.0963, mae: 0.0873
Iter: 59, mse: 0.0107, rmse: 0.1036, mae: 0.0934
Iter: 60, mse: 0.0109, rmse: 0.1044, mae: 0.0948
Iter: 61, mse: 0.0137, rmse: 0.1169, mae: 0.1073
Iter: 62, mse: 0.0141, rmse: 0.1187, mae: 0.1103
Iter: 63, mse: 0.0193, rmse: 0.1388, mae: 0.1288
Iter: 64, mse: 0.0175, rmse: 0.1322, mae: 0.1232
Iter: 65, mse: 0.0168, rmse: 0.1296, mae: 0.1220
Iter: 66, mse: 0.0201, rmse: 0.1419, mae: 0.1364
Iter: 67, mse: 0.0127, rmse: 0.1125, mae: 0.1024
Iter: 68, mse: 0.0141, rmse: 0.1189, mae: 0.1101
Iter: 69, mse: 0.0136, rmse: 0.1167, mae: 0.1057
Iter: 70, mse: 0.0155, rmse: 0.1245, mae: 0.1144
Iter: 71, mse: 0.0201, rmse: 0.1419, mae: 0.1346
Iter: 72, mse: 0.0153, rmse: 0.1235, mae: 0.1148
